h,POROSITY,K,SORT(k/POR),kUwi/Uoi,Sw,T,API,PI,Bp,Pep,PVPa,Uoi,Ubp,Uoa,Uw,Rsi,Rsb,Rsa,BoJ,Bob,Boa,OOIP,REC,OOIPCALC
200.0000,244.0000,408.0000,40.8900,858.8000,0.2990,183.0000,40.0000,2928.0000,2928.0000,500.0000,5.8600,0.3000,0.3000,0.8300,0.3590,830.0000,830.0000,170.0000,1.4800,1.4800,1.1200,889.0000,259.0000,808.5040
38.0000,0.2900,4000.0000,117.4400,4000.0000,0.2500,165.0000,32.0000,3255.0000,3255.0000,3000.0000,1.0900,0.8000,0.8000,0.8000,0.4840,651.0000,651.0000,651.0000,1.2850,1.2850,1.8500,1348.0000,822.0000,1313.1250
40.0000,0.2240,401.0000,42.3100,574.7700,0.2180,188.0000,44.0000,2744.0000,2744.0000,300.0000,9.1500,30.0000,30.0000,0.4300,0.3470,958.0000,958.0000,255.0000,1.5118,1.5118,1.2150,889.0000,173.0000,888.8790
21.2000,0.1980,880.0000,57.7400,1129.1800,0.4350,118.0000,41.6000,1414.0000,1383.0000,1000.0000,14.1400,0.8300,0.8300,1.4200,0.7880,485.0000,485.0000,133.0000,1.2600,1.2600,1.1200,695.0000,187.0000,888.8000
13.2000,0.2210,648.0000,54.1500,1108.8300,0.4200,118.0000,41.0000,1414.0000,1383.0000,100.0000,14.1400,0.8300,0.8300,1.4200,0.7920,485.0000,485.0000,153.0000,1.2600,1.2600,1.1120,730.0000,125.0000,789.2230
240.0000,0.2940,2597.0000,93.9900,3165.0900,0.1700,135.0000,35.0000,1230.0000,1230.0000,50.0000,1.6400,1.6000,1.6000,1.9500,0.5010,298.0000,298.0000,200.0000,1.1800,1.1800,1.1400,1810.0000,1370.0000,1804.3280
28.0000,0.3300,2486.0000,88.7900,3018.7100,0.2500,144.0000,24.0000,1080.0000,1980.0000,1600.0000,1.2400,7.0000,7.0000,8.5000,0.5420,265.0000,265.0000,200.0000,1.1200,1.1200,1.1000,1714.0000,950.0000,1714.3790
28.0000,0.2890,1682.0000,76.2900,2204.0000,0.2000,172.0000,39.0000,2695.0000,2695.0000,2000.0000,1.3500,0.2900,0.2900,0.3800,0.4310,690.0000,690.0000,490.0000,1.9800,1.9800,1.2950,1308.0000,742.0000,1299.7460
27.0000,0.2880,1667.0000,76.0800,2083.9000,0.3700,180.0000,30.0000,2885.0000,2885.0000,2400.0000,1.2000,0.2100,0.2100,0.2600,0.4090,825.0000,825.0000,675.0000,1.4600,1.4600,1.3950,984.0000,617.0000,984.1170
35.0000,0.2980,972.0000,57.3000,999.7700,0.2260,214.0000,37.0000,3895.0000,3695.0000,3400.0000,1.0900,0.3500,0.3500,0.3800,0.2930,842.0000,842.0000,782.0000,1.5020,1.5020,1.4800,1190.0000,774.0000,1183.3480
39.0000,0.2520,2098.0000,91.2400,2031.7500,0.1410,140.0000,39.0000,1820.0000,755.0000,1190.0000,1.3800,0.9500,0.9500,0.9200,0.5190,385.0000,385.0000,385.0000,1.2200,1.2200,1.2400,1368.0000,1094.0000,1376.5240
336.0000,0.3100,900.0000,53.8800,900.0000,0.1950,160.0000,31.6000,2740.0000,2740.0000,2740.0000,1.0000,0.7500,0.7500,0.7500,0.4970,420.0000,420.0000,420.0000,1.2050,1.2050,1.2050,1864.0000,1039.0000,1606.6460
151.0000,0.3100,1095.0000,59.4300,1357.8000,0.2440,170.0000,31.6000,2740.0000,2740.0000,2000.0000,1.3700,0.7500,0.7500,0.9300,0.4580,485.0000,485.0000,343.0000,1.2290,1.2290,1.8200,1479.0000,805.0000,1479.3880
13.0000,0.3000,2700.0000,9497.0000,3115.3800,0.3000,157.0000,45.7000,2350.0000,2350.0000,1900.0000,1.2400,0.2800,0.2800,0.3000,0.5160,1030.0000,1030.0000,800.0000,1.5550,1.5550,1.4350,1048.0000,385.0000,1047.7040
12.0000,0.2500,1000.0000,63.2500,1120.0000,0.3000,171.0000,46.0000,2850.0000,2850.0000,2300.0000,1.3500,0.2500,0.2500,0.2800,0.4630,1170.0000,1170.0000,990.0000,1.8950,1.8950,1.5470,632.0000,333.0000,830.9670
215.0000,0.3300,870.0000,51.3500,1285.4500,0.2800,115.0000,24.5000,1150.0000,1150.0000,500.0000,2.3000,5.5000,5.5000,8.0000,0.7280,225.0000,225.0000,115.0000,1.1300,1.1300,1.0500,1631.0000,827.0000,1631.2400
285.0000,0.3400,2600.0000,87.4500,4680.0000,0.1500,105.0000,20.1000,1300.0000,1300.0000,500.0000,2.6000,25.0000,25.0000,45.0000,0.8120,146.0000,146.0000,50.0000,1.0880,1.0880,1.0460,2062.0000,1367.0000,2084.5140
